SITUAÇÃO;MARCA/MODELO;ANO/MODELO;COR;DATA DES;MES;
FURTADO;VW/GOL 1.0L MC4;2020;BRANCO;09/01/2020 00:00:00;JANEIRO
ROUBADO;HONDA/CG 160 TITAN;2019;AZUL;09/01/2020 01:30:00;JANEIRO
FURTADO;VW/NOVA SAVEIRO CE;0;PRATA;09/01/2020 02:00:00;JANEIRO
FURTADO;FORD/ECOSPORT SE AT 2.0;2013;PRATA;09/01/2020 06:40:00;JANEIRO
ROUBADO;FORD/CARGO 2629 6X4;2017;BRANCO;09/01/2020 10:20:00;JANEIRO
FURTADO;VW/GOL 16V PLUS;2001;AZUL;09/01/2020 14:30:00;JANEIRO
FURTADO;HONDA/CG 150 TITAN ESD;2007;AZUL;09/01/2020 16:10:00;JANEIRO
FURTADO;HYUNDAI/HB20 1.0M COMFOR;0;PRETA;09/01/2020 17:00:00;JANEIRO
FURTADO;VW/UP MOVE MDV;2018;PRATA;09/01/2020 20:00:00;JANEIRO
FURTADO;VW/NOVO GOL 1.0;0;BRANCO;09/01/2020 21:00:00;JANEIRO
ROUBADO;FORD/KA FLEX;2010;PRETA;09/01/2020 21:30:00;JANEIRO
FURTADO;CHEV/PRISMA 1.0MT LT;2013;PRATA;10/01/2020 00:00:00;JANEIRO
ROUBADO;HONDA/XRE 300;2014;BRANCO;10/01/2020 00:10:00;JANEIRO
ROUBADO;VW/24.280 CRM 6X2;2012;BRANCO;10/01/2020 01:00:00;JANEIRO
ROUBADO;HONDA/CBX 250 TWISTER;2005;PRATA;10/01/2020 06:00:00;JANEIRO
ROUBADO;FIAT/STRADA HD WK CC E;2018;BRANCO;10/01/2020 06:30:00;JANEIRO
FURTADO;CHEVROLET/MONTANA LS2;0;PRATA;10/01/2020 07:00:00;JANEIRO
FURTADO;CITROEN/C3 XTR 16 FLEX;0;PRATA;10/01/2020 09:00:00;JANEIRO
FURTADO;FIAT/UNO VIVACE 1.0;2013;PRATA;10/01/2020 10:00:00;JANEIRO
FURTADO;FIAT/UNO VIVACE 1.0;2013;PRATA;10/01/2020 10:00:00;JANEIRO
FURTADO;HONDA/CG 125 TITAN ES;2004;VERMELHO;10/01/2020 12:00:00;JANEIRO
FURTADO;HONDA/CG 125 TITAN ES;2004;VERMELHO;10/01/2020 12:00:00;JANEIRO
FURTADO;HONDA/CG 150 TITAN KS;2007;PRETA;10/01/2020 14:00:00;JANEIRO
FURTADO;HONDA/CG 150 TITAN KS;2007;PRETA;10/01/2020 14:00:00;JANEIRO
FURTADO;GM/MERIVA PREMIUM;0;PRATA;10/01/2020 23:40:00;JANEIRO
FURTADO;HONDA/CBX 250 TWISTER;2006;PRATA;11/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/FIORINO FLEX;2011;BRANCO;11/01/2020 07:10:00;JANEIRO
ROUBADO;RENAULT/SANDERO EXP1016V;2012;PRATA;11/01/2020 19:00:00;JANEIRO
ROUBADO;CHEV/PRISMA 1.4AT ADV;0;PRATA;11/01/2020 20:10:00;JANEIRO
ROUBADO;CHEV/PRISMA 1.4AT ADV;0;PRATA;11/01/2020 20:10:00;JANEIRO
ROUBADO;YAMAHA/XTZ250 LANDER;2020;BRANCO;11/01/2020 20:30:00;JANEIRO
FURTADO;VW/SAVEIRO CLI;1997;BRANCO;11/01/2020 21:00:00;JANEIRO
ROUBADO;IMP/MMC GALANT VR;1997;PRATA;11/01/2020 23:00:00;JANEIRO
FURTADO;HONDA/CG 150 TITAN KS;2006;VERMELHO;12/01/2020 00:00:00;JANEIRO
FURTADO;I/GM CAPTIVA SPORT 2.4;0;PRETA;12/01/2020 01:12:00;JANEIRO
FURTADO;HONDA/CG 150 FAN ESI;2010;VERMELHO;12/01/2020 20:00:00;JANEIRO
FURTADO;VW/GOL CL;1988;AZUL;13/01/2020 00:00:00;JANEIRO
FURTADO;HONDA/CG 125 TITAN ES;2002;PRATA;13/01/2020 00:00:00;JANEIRO
FURTADO;HONDA/CB 300R;2012;AZUL;13/01/2020 00:00:00;JANEIRO
FURTADO;HONDA/CG 150 TITAN ES;2005;AZUL;13/01/2020 00:00:00;JANEIRO
FURTADO;VW/GOL GLI 1.8;1995;AZUL;13/01/2020 00:00:00;JANEIRO
FURTADO;VW/GOL GLI 1.8;1995;AZUL;13/01/2020 00:00:00;JANEIRO
FURTADO;YAMAHA/FACTOR YBR125 E;2011;PRETA;13/01/2020 02:30:00;JANEIRO
